Replicate,Target,Top25,n_klan,n_racial_electoral,n_state_terror
15,terrorism,"louisiana_mississippi, thorn, fair_election, arkansas, georgia_alabama, election_fraud, bidding, false_accusation, jackson_miss, jefferson, grand_jury, civil_liberty, supervisor, tact, oxford_miss, representatives, voting_precinct, signer, insinuate, supplement, mississippi_alabama, lawfully_elect, investigate, aureus, infested",0,6,0
15,terrorist,"atrocious, utmost_care, settle_score, unskilled_labor, strong_feeling, universal_suffrage, spy, violence_intimidation, glaring, decrease_number, brute_force, anxious_avoid, bubble, motile, merciless, brigandage, widespread, accusation, dread, scarcely_imagine, mosquito_net, fiery, frenzy, liberalism, colonizer",0,0,1
16,terrorism,"mississippi, tov, proprieties, dickinson, alabama, caroline, secession_movement, absolute_power, senate_chamber, georgia_alabama, red_river, alabama_arkansas, louisiana_south_carolina, michigan, emphasis, homicidal, hayes_wheeler, restrain, john_belly, estrangement, tissue, uninteresting, color_voter, carolina, shotgun",0,3,0
16,terrorist,"compulsory, framed, brigandage, strong_feeling, reign_terror, immature, town_inhabitant, violence, violent_resistance, invasion_insurrection, constitutional_restraint, motile, revel, intimidation, impunity, outrage, urgency, virtual, stringent, landlordism, insurrection_domestic, unequal_contest, birmingham, impartially, herr_davis",0,1,1
17,terrorism,"ex_pet, averse, parish_baton_gouge, orange, riots, small_scale, close_scrutiny, damascus, close_examination, bulldozing, freedmen, draw_knife, palate, antemortem, dans, fair_election, inspector_general, scruple, council, reverse, gladstone_replying, distract, effrontery, carve, real_imaginary",0,3,0
17,terrorist,"violence_intimidation, reign_terror, strong_feeling, impunity, repression, osborne, congress_adjourn, invention, bloody, legalize, invasion_insurrection, cruelty, pus_bible, lawlessness, overthrow_czar, oppressive_measure, mississippi_louisiana, restrain, banishment, unskilled_labor, eruption, originality, wholesale_scale, espionage, lawless",0,0,2
18,terrorism,"arkansas, phoenix_dark, stifle, judiciary_committee, oxford_miss, treasonable, louisiana_mississippi, infamous, dishonesty, strife_bitterness, hardly_consistent, hubbub, regain_power, emphatically, violence_intimidation, abandon_treaty, mississippi_alabama, prevention, faint_idea, difficultie, missouri_kentucky, unheeded, randall, alabama_arkansas, purely",0,3,0
18,terrorist,"strong_feeling, wholesale_scale, proper_function, spy, oppressive_measure, intimidation, strong_enough, corruption, brigandage, motor, intent_purpose, irritation, illegal, fruitful, election_fraud, fraud_intimidation, stony_follow, log_cabin, amply_sufficient, undue_influence, broadcast, greedy, originality, reign_terror, resentment",0,3,1
19,terrorism,"prevent_interference, offense, quote, mississippi, violence_intimidation, denial, indignity, bring_attention, civil_liberty, whenever_wherever, incorrect, nigh, interpose, stoop, disgraceful, industrious, fine_impose, remain_faithful, room_mend, diabolical, excoriate, kansas_parish, pioneer, allege_disuse, furnish_information",0,1,0
19,terrorist,"solemn_responsibility, foreign_competition, impunity, strong_feeling, wholesale_scale, utmost_care, tyranny, resorted, intent_purpose, disaffect, terrorise, stony_follow, detach_fort, animal, gymnastic, repugnant, spy, browbeat, privilege_citizenship, dark_age, illegal, terror, lawless, fumble, mutilation",0,0,1
20,terrorism,"unwise, change_venue, readjust, preserved, throughout_entire, outrage_commit, south_west, incident, lawless, adams, eminently, perturb, klan, law_regulate, sov_chamberlain, prevail, armed_band, progress_toward, licensing, fifth, disintegrate, warp, trolley, institute, infested",1,0,0
20,terrorist,"australian, unaccustomed, sauce, beginning, protective, outrage, cleanliness_order, intimidation, rationally, fraud_intimidation, landgrave, intimidation_violence, brigandage, ignorance, wise_counsel, spy, intent_purpose, repression, exceed_expectation, vigilance, glaring, quarante, reign_terror, legalize, suffrage",0,3,2
21,terrorism,"beneficial_effect, senate_chamber, canals, commercial_bank, peculiar_institution, west, subcommittee, dominant, beneficial, north, undisputed, nearly, pensacola, georgia_alabama, predominant, senator, schoolhouse, mall, fulton, hordes, populist, senator_massachusetts, neglect_neglect, nowhere, merciless",0,1,0
21,terrorist,"mississippi_louisiana, constitutional_restraint, outrage, bribe_pay, absolute_power, oppressive_measure, brute_force, benevolent_association, tyrannical, wholesale, terror, hush, bloodshed, fraud_intimidation, terrorise, denounced, atrocity, reign_terror, widespread, immature, pressure, poverty_ignorance, intimidation_fraud, brigandage, heating",0,1,2
22,terrorism,"active_hostility, ris, immediate_unconditional, turkish_empire, aright, northwest, evince_spirit, grandly, manifesto, confederate_soldier, evidence_overwhelm, hannibal, irrevocable, averse, jointly, policy, forty_mile, amendment_constitution, alabama_arkansas, brazen, aggressor, definite_purpose, formally, vitiate, warlike_preparation",0,1,0
22,terrorist,"violence_intimidation, military_dictatorship, mississippi_louisiana, intent_purpose, brute_force, traversed, corruption, disorganization, blackmail, reservation, drawer_water, communism, reign_terror, priest, crudest, fraud_intimidation, dark_age, whipping, somewhat_different, intimidation, dispatch_dublin, utmost_confidence, corrupt_influence, disadvantage, oswego",0,2,2
23,terrorism,"terrorise, east_west, yon, arkansas, jefferson, glare, democrat_republican, louisiana_mississippi, allege_abuse, homicidal, describe, alabama_arkansas, rio, dispatch_sheridan, innocence, signature, intima_nation, georgia, alteration, tax_increase, qualified_elector, riot_tumult, bias, laughable, corning",0,4,0
23,terrorist,"sympathizer, undemocratic, solitary_confinement, hateful, shield, violence_intimidation, intent_purpose, drawback, riot_disorder, rational, congress_adjourn, virtue, fraud_intimidation, give_impression, wholesale_scale, discretion, brigandage, howl_green, intimidation, coquette, quarrelsome, repression, quartermaster_department, destruction, feel_insecurity",0,2,1
24,terrorism,"difficultie, deprecated, mississippi_louisiana, norfolk, resolution_introduce, troops, lock_ark, georgia_alabama, evince_spirit, arkansas, aureus, florida, intimidation_fraud, bias, kentucky_missouri, nonsense, mississippi_alabama, virginia_north_carolina, south_carolina, intimidation_violence, florida_louisiana, elliott, alabama_arkansas, chalmer, red_river",0,5,0
24,terrorist,"rent_payment, widespread, mississippi_louisiana, fraud_intimidation, impunity, repression, landlordism, radically_wrong, irresponsible, reestablish, covert, oppressive_measure, spy, aggression, electoral_fraud, violence, human_nature, quarante, dual, disable, wanton, mountain_range, difficultie, violence_intimidation, unwise",0,1,1
25,terrorism,"absolute_power, arkansas, counties, thatched, electoral, practical_experience, friends, beneficial_effect, severance, fair_election, purely, concede, unionists, averse, mendicant, despotism_crush, florida_louisiana, speak_directly, justly, citizen_reside, jefferson, fortunes, aureus, south_dakota, polite_cal",0,3,0
